Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert; Ammoniak NH3 [mg/l];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
15;53.825871;10.758409;im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;21.03.25;13:25:00;8,3;13;0,8;;651;10,7;90;7,9;0,002;0,000;0,131;0,102;0,070;0,021;15,30;3,46;0,194;;;;;;
15;53.825871;10.758409;im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;24.04.25;15:20:00;14,9;15;0,8;;687;13,21;131,7;8,0;0,004;0,000;0,179;0,139;0,094;0,029;10,50;2,37;0,21;;;;;;
15;53.825871;10.758409;im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;24.06.25;13:20:00;15,5;19;0,8;;687;5,55;54,7;7,7;0,001;0,000;0,084;0,065;0,136;0,041;6,27;1,42;0,69;;;;;;
15;53.825871;10.758409;im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;29.07.25;15:00:00;17,3;18;0,7;;797;4,35;45,4;8,0;0,016;0,000;0,55;0,427;0,086;0,026;6,95;1,57;0,57;;;;;;
15;53.825871;10.758409;im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;18.08.25;14:10:00;15,8;22;0,6;;905;5,22;52,6;10,3;0,041;0,000;0,051;0,040;0,000;0,000;7,02;1,59;0,31;;;;;;
15;53.825871;10.758409;im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;12.09.25;13:50:00;14,3;19;0,7;;655;5,31;51;8,7;0,000;0,000;;0,000;0,000;0,000;6,74;1,52;0,33;;;;;;
