Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert; Ammoniak NH3 [mg/l];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
6;53.823723;10,760781;Absalonshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;08.12.20;12:10;4,9;6;2,4;;417;9,4;;;;;;;;;;;;;;;;;
6;53.823723;10,760781;Absalonshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;14.07.17;15:45;19,1;20;1,6;;388;10,28;111;8;0,0000;0;;;;;;;;;;0,00;0;;
6;53.823723;10,760781;Absalonshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;16.08.17;19:15;21;22,8;2,5;;385;9,1;101,4;8,05;0,0000;0;;;;;;;;;;0,00;0;;
6;53.823723;10,760781;Absalonshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;10.09.17;12:14;15,8;19,4;1,8;;427;5,04;51,5;7,61;0,0008;5,57469E-07;0,071;;0,048;;0,917;;0,033;;;0,00;4,25;;11,90
6;53.823723;10,760781;Absalonshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;24.04.18;10:50;12,9;;1,4;;404;4,34;41,3;8,15;0,0020;1,39319E-06;0,068;;0,022;;0,67;;0,066;;;0,00;4,321428571;;12,10
6;53.823723;10,760781;Absalonshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;22.06.18;11:20;18,4;18,9;2,4;;401;3,34;35,8;7,91;0,0000;#BEZUG!;;;;;;;;;;0,00;0;;
6;53.823723;10,760781;Absalonshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;25.09.18;12:00;13,6;13;2,4;;418;2,29;21,6;7,67;0,0012;1,30071E-06;0,110;;0,024;;0,221;;0,012;;;0,00;3,528571429;;9,88
6;53.823723;10,760781;Absalonshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;18.04.19;13:45;12,4;16;2;;550;12,05;111,5;8,27;0,0000;0;;;;;;;;;;0,00;0;;
6;53.823723;10,760781;Absalonshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;24.05.19;11:10;14,5;19;2,4;;446;7,68;75,1;8,1;0,0000;0;;;;;;;;;;0,00;0;;
6;53.823723;10,760781;Absalonshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;11.07.19;13:10;17,7;20;2,2;;417;8,33;93,3;8,06;0,0007;1,40012E-07;0,020;;0,006;;0,145;;0,025;;;0,00;3,482142857;;9,75
