Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser  [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert; Ammoniak NH3 [mg/l ];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
3;53.847720;10.729189;50 m mittig flussabwärts der Insel Spieringhorst;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;12.06.11;12:30;19,4;18,3;0,95;;421;6,2;71,5;7,4;0,0017;3,1566E-06;0,188;;0,066;;4,44;;0,098;0,02;4,68;75,48;3,857142857;;10,80
3;53.847720;10.729189;50 m mittig flussabwärts der Insel Spieringhorst;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;08.07.11;10:20;18,9;19,1;1,3;;407;6,21;67,9;7,92;0,0022;1,78732E-06;0,080;;0,019;;0,74;;0,058;0,1;5,35;86,15;3,571428571;;10,00
3;53.847720;10.729189;50 m mittig flussabwärts der Insel Spieringhorst;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;21.08.11;14:30;18,4;24;1,1;;450;5,58;60;7,62;0,0014;1,42525E-06;0,102;;0,043;;6,74;;0,072;0,06;;0,00;4,071428571;;11,40
3;53.847720;10.729189;50 m mittig flussabwärts der Insel Spieringhorst;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;23.06.12;1350;17,8;20,2;2,5;;412;5,8;58,1;7,85;0,0119;6,43072E-05;0,540;;0,035;;2,1;;0,09;0,1;4,98;85,86;4,392857143;;12,30
3;53.847720;10.729189;50 m mittig flussabwärts der Insel Spieringhorst;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;22.07.12;13:20;18,1;20,9;2,5;;424;6,5;60,6;7,92;0,0153;8,87056E-05;0,580;;0,030;;2,33;;0,095;0;5,26;80,92;4,357142857;;12,20
3;53.847720;10.729189;50 m mittig flussabwärts der Insel Spieringhorst;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;26.08.12;14:45;19,8;21,5;2,4;;433;3,98;44,1;7,54;0,0008;4,86065E-07;0,062;;0,016;;0,226;;0,138;0,1;3,76;94,47;3,571428571;;10,00
3;53.847720;10.729189;50 m mittig flussabwärts der Insel Spieringhorst;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;22.09.12;14:40;19,1;19,5;2,4;;429;4,2;48,9;7,66;0,0019;2,27247E-06;0,120;;0,023;;0,356;;0,099;0,1;3,66;87,14;3,75;;10,50
