Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser  [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert; Ammoniak NH3 [mg/l ];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
2;53.854232;10.703373;50 m flussabwärts der Wallbrechtbrücke;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;23.06.12;14:50;17,2;20,2;1,3;;420;5,1;61,8;7,5;0,0006;4,0343E-07;0,065;;0,030;;0,22;;0,1;0;4,8;94,12;3,785714286;;10,60
2;53.854232;10.703373;50 m flussabwärts der Wallbrechtbrücke;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;22.07.12;13:50;18,5;22,6;1,3;;436;5,99;63,1;7,83;0,0016;1,21447E-06;0,074;;0,028;;2,51;;0,086;0;4,95;82,64;4,142857143;;11,60
2;53.854232;10.703373;50 m flussabwärts der Wallbrechtbrücke;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;26.08.12;14:45;17,5;20,2;1,25;;426;5,81;64,6;7,51;0,0006;3,83903E-07;0,062;;0,016;;0,167;;0,114;0;4,75;81,76;3,785714286;;10,60
2;53.854232;10.703373;50 m flussabwärts der Wallbrechtbrücke;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;22.09.12;13:50;19,1;19,6;1,25;;430;5,8;65,7;7,5;0,0075;5,07454E-05;0,680;;0,025;;0,198;;0,125;0,1;4,83;83,28;3,928571429;;11,00
2;53.854232;10.703373;50 m flussabwärts der Wallbrechtbrücke;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;14.07.13;;23,4;19,4;1,2;;419;3,7;41,7;7,88;0,0023;1,47997E-06;0,065;;0,014;;0,024;;0,092;0;3,05;82,43;3,357142857;;9,40
2;53.854232;10.703373;50 m flussabwärts der Wallbrechtbrücke;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;21.07.13;;23,6;27;1,4;;423;3,12;36,6;7,96;0,0013;3,81369E-07;0,030;;0,020;;0,076;;0,119;0,01;;0,00;3,285714286;;9,20
2;53.854232;10.703373;50 m flussabwärts der Wallbrechtbrücke;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;12.06.11;13:00;20,3;19,5;1;;473;4,82;53,2;7,65;0,0065;2,54525E-05;0,389;;0,044;;0,891;;;0,05;;0,00;3,857142857;;10,80
2;53.854232;10.703373;50 m flussabwärts der Wallbrechtbrücke;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;18.07.11;11:00;19,5;19,8;1,2;;402;5,42;60,1;7,65;0,0021;2,85142E-06;0,134;;0,031;;0,899;;;0,06;4,86;89,67;3,214285714;;9,00
2;53.854232;10.703373;50 m flussabwärts der Wallbrechtbrücke;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;21.08.11;15:00;20,2;24;1,4;;448;6,35;70,2;7,73;0,0019;1,80557E-06;0,095;;0,040;;5,25;;;;;0,00;4,428571429;;12,40
