Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser  [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert; Ammoniak NH3 [mg/l ];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;21.03.25;15:05:00;8,2;13;1,4;;431;12,2;103;8,7;0,002;0,000;0,032;0,025;0,000;0,000;1,36;0,31;0,00;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;24.04.26;14:30:00;15,3;15;0,8;;443;15;142,8;8,6;0,003;0,000;0,036;0,028;0,000;0,000;0,00;0,00;0,00;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;24.06.25;14:35:00;21,2;20;1;;382;9,01;102,7;8,4;0,013;0,000;0,144;0,112;0,000;0,000;1,45;0,33;0,29;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;29.07.25;16:10:00;21,9;18;1,6;;363;8,05;91,2;10,6;0,000;0,000;0,000;0,000;0,000;0,000;0,00;0,00;0,03;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;19.08.25;15:26:00;23,5;22;0,7;;364;11,88;140,4;10,5;0,021;0,000;0,024;0,019;0,000;0,000;0,00;0,00;0,24;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;12.09.25;15:15:00;19,8;19;0,8;;357;11,18;122,2;8,9;0,000;0,000;;0,000;0,000;0,000;0,00;0,00;0,24;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;26.03.24;15:20:00;9;;2;;489;13,1;115;8,4;0,000;0,000;0,000;0,000;0,000;0,000;3,75;0,85;0,00;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;30.04.24;15:10:00;15,2;;1,6;;404;14,1;138;8,7;0,004;0,000;0,032;0,025;0,000;0,000;1,85;0,42;0,00;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;04.06.24;14:45:00;19,4;17,5;1,3;;421;7,7;82,5;8,0;0,005;0,000;0,134;0,104;0,115;0,035;3,19;0,72;;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;24.06.24;15:00:00;22;22;1,9;Grund;380;;;8,4;0,004;0,000;0,037;0,029;0,066;0,020;1,60;0,36;0,14;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;23.07.24;13:40:00;23,6;;1,2;;367;;;8,5;0,003;0,000;0,024;0,019;0,000;0,000;0,00;0,00;0,22;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;15.08.24;14:50:00;23,7;21;1;;408;8,71;101,6;8,9;0,008;0,000;0,029;0,023;0,000;0,000;;0,00;0,41;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;10.09.24;14:35:00;21,3;18;0,6;;396;8,37;95,8;8,7;0,011;0,000;0,064;0,051;0,000;0,000;0,65;0,15;0,51;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;19.10.24;14:10:00;11,4;16;2,3;Grund;430;6,24;58,8;8,0;0,001;0,000;0,039;0,030;0,000;0,000;1,62;0,37;0,18;;;;;;
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;30.11.24;14:30:00;5,3;3;2;;456;5,89;46,1;7,8;0,001;0,000;0,130;0,101;0,098;0,030;6,13;1,38;0,20;;;;;;
