Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser  [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert; Ammoniak NH3 [mg/l ];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
8;53.873018;10.698132;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;14.07.17;13:53;21,5;18;0,8;;379;16,8;190;8,5;0,0000;0;;;;;;;;;;0,00;0;;
8;53.873019;10.698133;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;16.08.17;17:45;21;23;0,8;;399;10,9;121,7;8,3;0,0000;0;;;;;;;;;;0,00;0;;
8;53.873020;10.698134;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;10.09.17;09:50;16,9;17,4;0,8;;409;6,99;72,5;8,15;0,0044;4,70458E-06;0,108;;0,018;;0,239;;0,025;;;0,00;3,642857143;;10,20
8;53.873021;10.698135;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;20.06.21;06:55;25,8;21,6;0,2;;406;7,15;86,2;;;;;;;;;;;;;;;;
8;53.873022;10.698136;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;20.06.21;11:05;26;29,1;0,2;;407;5,71;71,3;;;;;;;;;;;;;;;;
8;53.873023;10.698137;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;24.04.18;09:15;15,4;10;0,8;;449;4,92;49,5;8,49;0,0044;2,54836E-06;0,058;;0,026;;0,957;;0,011;;;0,00;3,421428571;;9,58
8;53.873024;10.698138;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;22.06.18;09:30;19,1;16,3;1;;477;4,72;51;8,14;0,0000;0;;;;;;;;;;0,00;0;;
8;53.873025;10.698139;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;25.09.18;10:00;13,5;10;1,2;;464;3,58;33,7;8,5;0,0150;3,30755E-05;0,221;;0,013;;0,112;;0,089;;;0,00;3,75;;10,50
8;53.873026;10.698140;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;18.04.19;11:00;12;12;0,8;;562;12,4;111;8,93;0,0000;0;;;;;;;;;;0,00;0;;
8;53.873027;10.698141;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;24.05.19;09:26;17;16;1,4;;525;7,46;78,1;8,18;0,0000;0;;;;;;;;;;0,00;0;;
8;53.873028;10.698142;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;11.07.19;10:45;18,5;18;0,3;;368;16,64;182,8;9,344;0,0112;3,02819E-06;0,027;;0,009;;0,165;;0,167;;;0,00;3,032142857;;8,49
8;53.873029;10.698143;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;12.06.11;14:00;20,8;20,5;0,4;;445;6,65;74;7,87;0,0011;4,57324E-07;0,040;;0,012;;0,512;;0,75;0,03;4,98;74,89;3,857142857;;10,80
8;53.873030;10.698144;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;18.07.11;12:15;20;22;0,35;;416;6,18;68,8;7,88;0,0024;2,13891E-06;0,088;;0,029;;0,56;;0,063;0,01;4,78;77,35;3,357142857;;9,40
8;53.873031;10.698145;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;21.08.11;16:00;20,8;24;0,4;;449;10,63;118,5;8,49;0,0707;0,000459354;0,650;;0,059;;4,94;;0,06;0,11;;0,00;4,571428571;;12,80
8;53.873032;10.698146;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;23.06.12;14:40;18;19,5;0,6;;420;7,2;75,9;8,02;0,0010;2,94512E-07;0,030;;0,015;;0,098;;0,012;0;5;69,44;4;;11,20
8;53.873033;10.698147;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;22.07.12;14:20;18,3;23,1;0,6;;421;7,3;76,5;8,54;0,0040;1,55644E-06;0,039;;0,017;;2,4;;0,1;0;5,3;72,60;4,5;;12,60
8;53.873034;10.698148;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;26.08.12;15:40;20,7;18,3;0,6;;409;8,8;98,8;7,66;0,0004;8,56881E-08;0,022;;0,010;;0,068;;0,148;0;3,68;41,82;3,357142857;;9,40
8;53.873035;10.698149;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;22.09.12;15:00;20;17;0,6;;410;8,9;98,8;7,55;0,0004;1,02887E-07;0,028;;0,013;;0,067;;0,14;0,1;4,63;52,02;3,392857143;;9,50
