Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser  [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert; Ammoniak NH3 [mg/l ];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
14;53.842179;10.732621;Kleiner See Mittig;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);26.03.24;14:30:00;8,6;;0,6;;471;12,6;110;8,8;0,0022;0,0000;0,024;0,019;0,000;0,000;1,51;0,34;0,00;;;;;;
14;53.842179;10.732621;Kleiner See Mittig;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);30.04.24;14:38:00;16;;1,4;;423;10,2;102;8,4;0,019;0,000;0,285;0,221;0,053;0,016;2,01;0,45;0,31;;;;;;
14;53.842179;10.732621;Kleiner See Mittig;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);04.06.24;14:15:00;20;17,5;0,7;;408;11,66;126,8;8,9;0,007;0,000;0,031;0,024;0,000;0,000;0,00;0,00;0,00;;;;;;
14;53.842179;10.732621;Kleiner See Mittig;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);24.06.24;14:15:00;23,2;22;0,5;Tiefe 190;355;;;9,1;0,018;0,000;0,050;0,039;0,029;0,009;0,95;0,21;0,00;;;;;;
14;53.842179;10.732621;Kleiner See Mittig;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);23.07.24;13:10:00;22,9;;0,4;;316;;;9,1;0,009;0,000;0,024;0,019;0,000;0,000;0,00;0,00;0,00;;;;;;
14;53.842179;10.732621;Kleiner See Mittig;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);15.08.24;14:10:00;23,5;;0,35;;390;13,48;150;8,9;0,010;0,000;0,037;0,029;0,000;0,000;1,07;0,24;0,00;;;;;;
14;53.842179;10.732621;Kleiner See Mittig;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);10.09.24;14:00;20,8;18;0,4;;406;7,5;84,5;7,5;0,000;0,000;0,000;0,000;;;0,53;0,12;0,00;;;;;;
14;53.842179;10.732621;Kleiner See Mittig;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);19.10.24;14:00;11,3;16;0,8;;424;8,75;78,9;8,7;0,002;0,000;0,026;0,020;0,011;0,003;0,00;0,00;0,00;;;;;;
14;53.842179;10.732621;Kleiner See Mittig;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);30.11.24;14:00:00;4,8;3;1,3;;445;5,27;40,2;7,8;0,003;0,000;0,405;0,314;0,000;0,000;2,50;0,56;0,00;;;;;;
