Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser  [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert; Ammoniak NH3 [mg/l ];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
17;53.846527;10.724491;Spieringshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;14.07.17;14:42;18,7;19;1,2;;404;8,13;87,2;7,83;0,0000;0;;;;;;;;;;0,00;0;;
17;53.846527;10.724491;Spieringshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;16.08.17;18:30;20,4;23;1,8;;408;9,23;104;8,03;0,0000;0;;;;;;;;;;0,00;0;;
17;53.846527;10.724491;Spieringshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;10.09.17;10:55;16;18,6;1,4;;441;4,5;46;7,32;0,0007;7,92598E-07;0,117;;0,058;;1,5;;0,05;;;0,00;3,964285714;;11,10
17;53.846527;10.724491;Spieringshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;24.04.18;9:50;13,2;10;0,8;;451;4,36;41,7;8,07;0,0015;8,37155E-07;0,057;;0,025;;0,597;;0,013;;;0,00;3,714285714;;10,40
17;53.846527;10.724491;Spieringshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;22.06.18;10:20;19;22,3;1,4;;465;4,99;53,3;7,83;0,0000;0;;;;;;;;;;0,00;0;;
17;53.846527;10.724491;Spieringshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;25.09.18;10:50;13,1;10;1,4;;456;2,96;27,5;7,9;0,0014;1,20172E-06;0,083;;0,020;;0,114;;0,067;;;0,00;0;;
17;53.846527;10.724491;Spieringshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;18.04.19;12:20;12,2;14;0,9;;712;14,27;127,8;8,9;0,0000;0;;;;;;;;;;0,00;0;;
17;53.846527;10.724491;Spieringshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;24.05.19;10:05;16,8;18;1,4;;508;8,89;90,4;8,14;0,0000;0;;;;;;;;;;0,00;0;;
17;53.846527;10.724491;Spieringshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;11.07.19;11:55;18,7;19;1,4;;440;9,94;103,4;8,36;0,0006;4,61659E-08;0,008;;0,001;;0,144;;0,072;;;0,00;3,407142857;;9,54
17;53.846527;10.724491;Spieringshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;08.12.20;11:15;3,6;6;1,4;;483;9,39;;;;;;;;;;;;;;;;;
