Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser  [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert; Ammoniak NH3 [mg/l ];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
10;53.825871;10.758409;Im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;26.03.24;13:30:00;8,7;;0,8;;765;10,9;94;7,8;0,001;0,000;0,143;0,111;0,100;0,030;19,90;4,50;0,261;;;;;;
10;53.825871;10.758409;Im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;30.04.24;13:45:00;15,1;19;0,6;;686;10,2;101;8,1;0,006;0,000;0,174;0,135;0,115;0,035;3,68;0,83;0,37;;;;;;
10;53.825871;10.758409;Im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;04.06.24;13:25:00;14,7;17,5;0,4;Grund;683;7,38;72,6;8,2;0,008;0,000;0,219;0,170;0,190;0,058;18,30;4,13;0,36;;;;;;
10;53.825871;10.758409;Im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;24.06.24;13:35:00;16,1;20;0,4;Grund;663;;;8,1;0,005;0,000;0,144;0,112;0,185;0,056;13,80;3,12;0,31;;;;;;
10;53.825871;10.758409;Im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;23.07.24;12:40:00;16,1;;0,4;Grund;690;;;8,2;0,004;0,000;0,103;0,080;0,181;0,055;10,20;2,30;0,39;;;;;;
10;53.825871;10.758409;Im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;15.08.24;13:35:00;;20;0,6;Grund;715;5,84;59,3;7,9;0,000;0,000;0,06;0,047;0,139;0,042;11,40;2,58;0,36;;;;;;
10;53.825871;10.758409;Im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;10.09.24;13:20:00;15,8;18;0,6;Grund;560;5,34;53,7;7,8;0,001;0,000;0,063;0,049;0,111;0,034;7,97;1,80;0,43;;;;;;
10;53.825871;10.758409;Im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;19.10.24;13:00:00;11,3;16;0,7;Grund;752;4,25;38,3;7,7;0,001;0,000;0,065;0,050;0,063;0,019;12,60;2,85;0,27;;;;;;
10;53.825871;10.758409;Im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben;30.11.24;13:25:00;5,5;3;0,5;;656;6,26;49,5;7,7;0,001;0,000;0,135;0,105;0,117;0,036;38,20;8,63;0,19;;;;;;
