Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser  [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert; Ammoniak NH3 [mg/l ];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;21.03.25;00:00:00;9;13;0,2;;739;7,7;66,70;7,8;0,003;0,000;0,269;0,209;0,058;0,018;10,60;2,39;0,34;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;24.04.25;14:55:00;14,7;15;0,2;;752;13,3;131,6;8,0;0,003;0,000;0,134;0,104;0,077;0,023;4,68;1,06;0,29;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;24.06.25;13:05:00;15;18;0,2;;664;6,62;60,2;7,7;0,002;0,000;0,165;0,128;0,086;0,026;3,19;0,72;2,55;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;29.07.25;09:00:00;;18;0,6;;728;6,23;62,2;7,8;0,001;0,000;0,186;0,144;0,148;0,045;3,70;0,84;0,77;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;18.08.25;14:00:00;16,5;20;0,5;;772;7,6;76,6;8,1;0,006;0,000;0,169;0,131;0,103;0,031;3,15;0,71;0,54;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;12.09.25;08:30:00;13,3;10;0,4;;629;6,6;63,6;7,7;0,000;0,000;;0,000;0,055;0,017;2,98;0,67;0,29;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;20.08.09;13:00;18,5;28;0,8;;;6,7;76;7,34;;;0,000;;< 0,025;;0;;0;0;5,8;86,57;4;1,40;11,20
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;30.04.24;13:22:00;14,7;19;0,2;Grund;740;8,5;87,2;7,9;0,005;0,000;0,258;0,200;0,110;0,033;9,90;2,24;0,29;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;04.06.24;13:05:00;14,9;17,5;0,3;Grund;731;6,85;67,9;7,9;0,004;0,000;0,216;0,168;0,183;0,056;9,10;2,06;;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;24.06.24;13:10:00;18,7;20;0,3;Grund;720;;;8,0;0,006;0,000;0,183;0,142;0,115;0,035;6,16;1,39;0,32;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;23.07.24;12:20:00;16,7;;0,2;Grund;749;;;8,1;0,006;0,000;0,166;0,129;0,132;0,040;5,56;1,26;0,42;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;15.08.24;13:10;17,4;20;0,2;Grund;759;6,81;70,8;8,1;0,005;0,000;0,132;0,102;0,140;0,043;4,05;0,91;0,39;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;10.09.24;13:05:00;15,8;18;0,3;Grund;664;6,65;68,3;7,9;0,002;0,000;0,108;0,084;0,113;0,034;4,96;1,12;0,40;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;19.10.24;12:40:00;11;16;0,2;Grund;765;4,87;43,9;7,7;0,002;0,000;0,195;0,151;0,167;0,051;9,12;2,06;0,67;;;;;;
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau;30.11.24;13:05:00;4,2;3;0,25;Grund;634;5,9;44,7;7,5;0,001;0,000;0,165;0,128;0,161;0,049;27,80;6,28;0,26;;;;;;
