Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert;Ammoniak NH3 [mg/l];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);14.07.17;15:00;18,9;19;0,5;;371;13,1;140;9,2;0,0000;0;;;;;;;;;;0,00;0;;
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);16.08.17;18:45;20,5;23,3;0,4;;372;11,4;123,6;9,04;0,0000;0;;;;;;;;;;0,00;0;;
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);10.09.17;11:27;16,8;17,8;0,6;;395;8,87;92,5;8,05;0,0015;7,08873E-07;0,047;;0,021;;0,275;;0,005;;;0,00;3,128571429;;8,76
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);24.04.18;10:15;15;10;0,6;;450;4,21;42;8,25;0,0014;4,21378E-07;0,031;;0,026;;0,617;;0,067;;;0,00;4;;11,20
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);22.06.18;10:35;19,3;18,7;0,4;;418;6,88;74,5;8,31;0,0000;0;;;;;;;;;;0,00;0;;
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);25.09.18;11:15;13,3;11;0,9;;460;4,34;40,6;8,29;0,0072;1,20854E-05;0,169;;0,019;;0,12;;0,019;;;0,00;3,928571429;;11,00
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);18.04.19;12:50;12,5;15;0,8;;680;12,85;116,8;8,8;0,0000;0;;;;;;;;;;0,00;0;;
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);24.05.19;10:32;17,9;19;0,7;;524;8,66;91,1;8,35;0,0000;0;;;;;;;;;;0,00;0;;
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);11.07.19;12:10;19,5;19;0,3;;372;17,2;184,5;9,49;0,0215;9,02716E-06;0,042;;0,015;;0,19;;0,017;;;0,00;2,992857143;;8,38
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);21.03.25;14:25:00;8,5;13;0,7;;416;12,1;102;8,8;0,0024;0,000;0,027;0,021;0,000;0,000;1,29;0,29;0,00;;;;;;
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);24.04.25;15:55:00;15,3;15;0,8;;430;9,82;99,2;8,1;0,005;0,000;0,142;0,110;0,000;0,000;1,05;0,24;0,00;;;;;;
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);24.06.25;14:00:00;20,6;19;0,6;;343;8,22;91,3;8,1;0,007;0,000;0,143;0,111;0,000;0,000;1,01;0,23;0,30;;;;;;
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);29.07.25;15:30:00;22,3;18;0,6;;378;8,98;100,9;10,5;0,018;0,000;0,020;0,016;0,000;0,000;0,00;0,00;0,00;;;;;;
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);18.08.25;14:45:00;23,1;22;0,8;;389;8,45;97;8,8;0,006;0,000;0,026;0,020;0,000;0,000;0,00;0,00;0,26;;;;;;
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz);12.09.25;14:35:00;19,4;19;0,7;;402;10,11;101,5;9,0;0,000;0,000;;0,000;0,000;0,000;0,00;0,00;0,07;;;;;;

