Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert;Ammoniak NH3 [mg/l];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
5;53.827951;10.755667;600 m flussabwärts Absalonhorst Rechts;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;23.06.12;12,50;17;19,8;1;;420;5,8;60,2;7,85;0,0031;4,68147E-06;0,150;;0,033;;0,92;;0,58;0;5,16;88,97;3,785714286;;10,60
5;53.827951;10.755667;600 m flussabwärts Absalonhorst Rechts;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;22.07.12;12,40;17,2;18,8;1;;424;5,9;60,6;7,92;0,0143;8,3118E-05;0,580;;0,030;;2,33;;0,95;0;5,26;89,15;4,357142857;;12,20
5;53.827951;10.755667;600 m flussabwärts Absalonhorst Rechts;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;26.08.12;14:00;18,7;20,5;1,5;;430;4,44;48,1;7,58;0,0010;7,58087E-07;0,077;;0,012;;0,27;;0,059;0;3,77;84,91;3,5;;9,80
5;53.827951;10.755667;600 m flussabwärts Absalonhorst Rechts;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;22.09.12;13:20;20;19,5;1,5;;428;4,55;49,2;7,48;0,0009;7,34366E-07;0,081;;0,016;;0,26;;0,58;0,1;3,89;85,49;3,5;;9,80
5;53.827951;10.755667;600 m flussabwärts Absalonhorst Rechts;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;12.06.11;12:00;16,5;14,5;1;;503;3,9;40;7,15;0,0021;1,03836E-05;0,505;;0,226;;27,3;;0,196;0,05;;0,00;4,214285714;;11,80
5;53.827951;10.755667;600 m flussabwärts Absalonhorst Rechts;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;18.07.11;09:40;19;14,5;1,4;;385;7,56;82,4;8,2;0,0030;1,69557E-06;0,057;;0,019;;0,489;;0,038;0,15;5,4;71,43;3,285714286;;9,20
5;53.827951;10.755667;600 m flussabwärts Absalonhorst Rechts;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;21.08.11;14:00;18,5;24;1,2;;462;6,62;70,6;7,76;0,0016;1,27372E-06;0,082;;0,036;;7,18;;0,062;;;0,00;4,142857143;;11,60
5;53.827951;10.755667;600 m flussabwärts Absalonhorst Rechts;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;02.06.13;14:30;14,2;;0,5;;505;3,72;36,2;7,56;0,0010;1,0592E-06;0,110;;0,046;;2,21;;0,087;0;1,65;44,35;4,642857143;;13,00

